[2021-06-21 23:11:51,996] INFO     sbp.txloader     Retrieving cached result for ..\data\clockwork_drake\clockwork_drake.jpg
[2021-06-21 23:11:52,037] INFO     sbp              Loaded file ..\data\clockwork_drake\clockwork_drake.jpg
[2021-06-22 00:09:02,459] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:09:02,459] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:09:02,459] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:09:02,459] DEBUG    sbp.columniser   	max_vertical_gap=0.01
[2021-06-22 00:09:02,459] DEBUG    sbp.columniser   	fuzzyness=0.01
[2021-06-22 00:09:02,459] DEBUG    sbp.clusterer    Configured Clusterer with config:
[2021-06-22 00:09:02,459] DEBUG    sbp.clusterer    	Fuzzyness=1.0
[2021-06-22 00:09:02,460] DEBUG    sbp.clusterer    	Min Gap=0.0
[2021-06-22 00:09:02,460] DEBUG    sbp.clusterer    	Max Gap=1.0
[2021-06-22 00:09:02,460] DEBUG    sbp.clusanno     Configured SectionAnnotator
[2021-06-22 00:09:02,460] INFO     sbp.txloader     Retrieving cached result for ..\data\clockwork_drake\clockwork_drake.jpg
[2021-06-22 00:09:02,488] INFO     sbp              Loaded file ..\data\clockwork_drake\clockwork_drake.jpg
[2021-06-22 00:09:02,488] INFO     sbp              Loading ..\data\clockwork_drake\clockwork_drake.jpg
[2021-06-22 00:09:02,488] DEBUG    sbp.columniser   Received 103 lines
[2021-06-22 00:09:02,488] DEBUG    sbp.columniser   Initial pass found 5 columns
[2021-06-22 00:09:02,488] DEBUG    sbp.columniser   	Col 0: Length 49
[2021-06-22 00:09:02,488] DEBUG    sbp.columniser   	Col 1: Length 3
[2021-06-22 00:09:02,488] DEBUG    sbp.columniser   	Col 2: Length 4
[2021-06-22 00:09:02,488] DEBUG    sbp.columniser   	Col 3: Length 2
[2021-06-22 00:09:02,488] DEBUG    sbp.columniser   	Col 4: Length 45
[2021-06-22 00:09:26,725] DEBUG    sbp.columniser   Configure columniser with parameters:
[2021-06-22 00:09:26,725] DEBUG    sbp.columniser   	left_offset_leeway=0.01
[2021-06-22 00:09:26,726] DEBUG    sbp.columniser   	right_offset_leeway=0.1
[2021-06-22 00:09:26,726] DEBUG    sbp.columniser   	max_vertical_gap=0.01
[2021-06-22 00:09:26,726] DEBUG    sbp.columniser   	fuzzyness=0.01
[2021-06-22 00:09:26,726] DEBUG    sbp.clusterer    Configured Clusterer with config:
[2021-06-22 00:09:26,726] DEBUG    sbp.clusterer    	Fuzzyness=1.0
[2021-06-22 00:09:26,726] DEBUG    sbp.clusterer    	Min Gap=0.0
[2021-06-22 00:09:26,726] DEBUG    sbp.clusterer    	Max Gap=1.0
[2021-06-22 00:09:26,726] DEBUG    sbp.clusanno     Configured SectionAnnotator
[2021-06-22 00:09:26,727] INFO     sbp.txloader     Retrieving cached result for ..\data\clockwork_drake\clockwork_drake.jpg
[2021-06-22 00:09:27,669] INFO     sbp              Loaded file ..\data\clockwork_drake\clockwork_drake.jpg
[2021-06-22 00:09:27,670] INFO     sbp              Loading ..\data\clockwork_drake\clockwork_drake.jpg
[2021-06-22 00:09:27,670] DEBUG    sbp.columniser   Received 103 lines
[2021-06-22 00:09:27,670] DEBUG    sbp.columniser   Initial pass found 5 columns
[2021-06-22 00:09:27,670] DEBUG    sbp.columniser   	Col 0: Length 49
[2021-06-22 00:09:27,670] DEBUG    sbp.columniser   	Col 1: Length 3
[2021-06-22 00:09:27,670] DEBUG    sbp.columniser   	Col 2: Length 4
[2021-06-22 00:09:27,670] DEBUG    sbp.columniser   	Col 3: Length 2
[2021-06-22 00:09:27,670] DEBUG    sbp.columniser   	Col 4: Length 45
